instance_id,num_counterfactuals,num_actionable,num_faithful,num_improving,has_feasible_recourse,avg_feasibility_score,max_improvement_delta
0,5,5,4,4,True,1.0,0.09
1,5,5,0,0,False,1.0,0.0
2,5,5,4,4,True,1.0,0.30000000000000004
3,5,5,2,2,True,1.0,0.18
4,5,5,1,1,True,1.0,0.050000000000000044
5,5,5,2,2,True,1.0,0.05
6,5,5,3,3,True,1.0,0.09000000000000001
7,5,5,0,0,False,1.0,0.0
8,5,5,2,2,True,1.0,0.15
9,5,5,3,3,True,1.0,0.14999999999999997
10,5,5,1,1,True,1.0,0.04999999999999999
11,5,5,1,1,True,1.0,0.010000000000000009
12,5,5,4,4,True,1.0,0.1
13,5,5,2,2,True,1.0,0.06000000000000005
14,5,5,2,2,True,1.0,0.040000000000000036
15,5,5,5,5,True,1.0,0.41
16,5,5,4,4,True,1.0,0.29000000000000004
17,5,5,4,4,True,1.0,0.27
18,5,5,1,1,True,1.0,0.030000000000000027
19,5,5,2,2,True,1.0,0.04999999999999993
20,5,5,3,3,True,1.0,0.09000000000000002
21,5,5,0,0,False,1.0,0.0
22,5,5,1,1,True,1.0,0.08000000000000007
23,5,5,2,2,True,1.0,0.019999999999999997
24,5,5,3,3,True,1.0,0.2
25,5,5,2,2,True,1.0,0.07000000000000006
26,5,5,1,1,True,1.0,0.03999999999999998
27,5,5,2,2,True,1.0,0.10000000000000003
28,5,5,2,2,True,1.0,0.019999999999999907
29,5,5,0,0,False,1.0,0.0
30,5,5,3,3,True,1.0,0.12999999999999998
31,5,5,1,1,True,1.0,0.030000000000000027
32,5,5,3,3,True,1.0,0.21
33,5,5,0,0,False,1.0,-0.020000000000000018
34,5,5,4,4,True,1.0,0.14
35,5,5,3,3,True,1.0,0.06999999999999999
36,5,5,1,1,True,1.0,0.020000000000000018
37,5,5,3,3,True,1.0,0.25
38,5,5,5,5,True,1.0,0.19
39,5,5,2,2,True,1.0,0.05999999999999997
40,5,5,3,3,True,1.0,0.17999999999999994
41,5,5,5,5,True,1.0,0.13999999999999999
42,5,5,4,4,True,1.0,0.33999999999999997
43,5,5,4,4,True,1.0,0.32999999999999996
44,5,5,5,5,True,1.0,0.23000000000000004
45,5,5,5,5,True,1.0,0.11000000000000001
46,5,5,3,3,True,1.0,0.18000000000000005
47,5,5,5,5,True,1.0,0.17
48,5,5,4,4,True,1.0,0.27999999999999997
49,5,5,2,2,True,1.0,0.050000000000000044
